pop1	pop2	nean_int_mean_frag_len	nean_int_total_seq_len	nean_int_n_frags	nean_n_ind1	nean_art1_mean_frag_len	nean_art1_total_seq_len	nean_art1_n_frags	nean_n_ind2	nean_art2_mean_frag_len	nean_art2_total_seq_len	nean_art2_n_frags	deni_int_mean_frag_len	deni_int_total_seq_len	deni_int_n_frags	deni_n_ind1	deni_art1_mean_frag_len	deni_art1_total_seq_len	deni_art1_n_frags	deni_n_ind2	deni_art2_mean_frag_len	deni_art2_total_seq_len	deni_art2_n_frags	mpd_neanderthal	mpd_whole_genome	mpd_denisova	reg1	reg2	nean_ratio1	nean_ratio2	deni_ratio1	deni_ratio2	div_neanderthal	div_whole_genome	div_denisova	norm_div_neanderthal	norm_div_whole_genome	norm_div_denisova
Daur	Burusho	52795.830055074744	134209542	2542	9	87494.140625	268782000	3072	24	83004.2372881356	470136000	5664	55616.54135338346	7397133	133	9	86159.02964959569	31965000	371	24	82881.53846153847	53873000	650	10613.0	1648705.9654791427	1093.0	EAS	SAS	0.4993248878273099	0.2854696130481393	0.2314135147817926	0.13730686986059806	7.907783486810498e-05	0.0007320144125657865	0.00014775994969943085	-0.2318608984735212	0.1832213705284197	-0.233120499116058
Hezhen	Burusho	51309.055118110235	130327540	2540	9	85640.29706167258	265228000	3097	24	83004.2372881356	470136000	5664	51344.8275862069	5956116	116	9	82407.73809523809	27689000	336	24	82881.53846153847	53873000	650	10389.5	1648772.3922148598	815.0	EAS	SAS	0.4913792661408298	0.2772124236391172	0.21510766008162086	0.11055846156701873	7.97183772516538e-05	0.0007320439055917977	0.00013683413822027644	-0.2259430545711177	0.1839222792636783	-0.29858442470962454
Mongolian	Burusho	51306.818181818184	135452640	2640	9	87875.03914813655	280585000	3193	24	83004.2372881356	470136000	5664	54609.375	6990128	128	9	87150.27322404372	31897000	366	24	82881.53846153847	53873000	650	10982.0	1647593.5407082879	1119.0	EAS	SAS	0.48275082417092857	0.28811373730154677	0.21914687901683544	0.1297519722309877	8.1076308294914e-05	0.0007315205034138751	0.00016008290549185937	-0.21339739927861456	0.17148350277394434	-0.1592853370663112
Xibo	Burusho	53165.144596651444	139720628	2628	9	88987.14239794278	276839000	3111	24	83004.2372881356	470136000	5664	59340.90909090909	7833132	132	9	87800.0	28974000	330	24	82881.53846153847	53873000	650	11360.0	1648182.8638482196	1118.5	EAS	SAS	0.5046999447332204	0.2971919359504484	0.27035038310209153	0.14539995916321719	8.130510263667009e-05	0.0007317821589431939	0.00014279090407259829	-0.21128361378207303	0.17770180828313875	-0.26289341198451066
Japanese	Burusho	48417.081017841476	165541419	3419	27	78430.189501198	360073000	4591	24	83004.2372881356	470136000	5664	51808.13953488372	8911172	172	27	80322.0640569395	45141000	562	24	82881.53846153847	53873000	650	12423.0	1649898.9968351359	1032.0	EAS	SAS	0.4597440491233722	0.3521138968298535	0.19740750094149442	0.16541072522413824	7.504466299156225e-05	0.0007325441105019349	0.00011580968249743132	-0.26912257265768463	0.19580976720069745	-0.4245561575837933
NorthernHan	Burusho	50509.07029478458	133649646	2646	10	85439.47858472998	275286000	3222	24	83004.2372881356	470136000	5664	48065.69343065693	6585137	137	10	79861.78861788618	29469000	369	24	82881.53846153847	53873000	650	10642.0	1648511.0546098535	923.5	EAS	SAS	0.48549379917612956	0.2842786895706774	0.22345980521904374	0.12223445881981698	7.962609942116869e-05	0.0007319278734445163	0.00014024005878693184	-0.22679559112527645	0.18116474785373052	-0.27817725120324227
Naxi	Burusho	52589.91318726746	127217419	2419	8	88766.8252889191	261152000	2942	24	83004.2372881356	470136000	5664	55836.065573770495	6812122	122	8	89819.71830985915	31886000	355	24	82881.53846153847	53873000	650	10240.0	1649313.0807084697	942.0	EAS	SAS	0.4871393632826859	0.270597059148842	0.21363990466035251	0.12644779388561989	8.049212191610333e-05	0.0007322839676637001	0.0001382829021558921	-0.21879458124268433	0.1896274111527131	-0.2899039001861383
Yi	Burusho	52559.57365816521	138076627	2627	10	87185.6014580802	287015000	3292	24	83004.2372881356	470136000	5664	51642.384105960264	7798151	151	10	85698.3758700696	36936000	431	24	82881.53846153847	53873000	650	11086.5	1651201.7422414036	1172.5	EAS	SAS	0.48107808651115797	0.29369507334048023	0.21112602880658438	0.14475063575445957	8.029237272721038e-05	0.0007331225207420014	0.0001503561549398056	-0.22064002433881644	0.20955582329109654	-0.21756487773216485
Tu	Burusho	52942.080800858064	148081797	2797	10	86606.52870883125	297147000	3431	24	83004.2372881356	470136000	5664	50692.307692307695	7249143	143	10	84101.03626943006	32463000	386	24	82881.53846153847	53873000	650	11502.0	1647398.2799783805	1037.5	EAS	SAS	0.49834525335944835	0.3149765110521211	0.22330477774697347	0.13455985373006887	7.767328755471546e-05	0.0007314338089568324	0.00014312036609017093	-0.244837232230124	0.16942318850789906	-0.2609193822252171
Tujia	Burusho	51648.87983706721	126800455	2455	9	89896.23908663532	267711000	2978	24	83004.2372881356	470136000	5664	58522.388059701494	7842134	134	9	82201.08695652174	30250000	368	24	82881.53846153847	53873000	650	10765.0	1651158.4606482042	1083.0	EAS	SAS	0.47364678702033164	0.269710158337162	0.25924409917355373	0.14556705585358157	8.489717170178924e-05	0.0007331033040043391	0.00013810016508261654	-0.1780972008920235	0.20909913297774724	-0.2909988015754696
Cambodian	Burusho	52625.750750750754	140197664	2664	9	85110.81794195251	290313000	3411	24	83004.2372881356	470136000	5664	50516.666666666664	6062120	120	9	88593.45794392523	37918000	428	24	82881.53846153847	53873000	650	11360.5	1655983.8642832746	788.0	EAS	SAS	0.482919001215929	0.298206612554665	0.1598744659528456	0.11252612625990756	8.103202061911673e-05	0.0007352457509180266	0.00012998752911522703	-0.21380656432202116	0.26001489035241554	-0.3396070901543222
Dai	Burusho	48805.78512396694	118112420	2420	9	84013.2362673726	253888000	3022	24	83004.2372881356	470136000	5664	50852.17391304348	5848115	115	9	90136.90476190476	30286000	336	24	82881.53846153847	53873000	650	9669.0	1653438.622354465	798.5	EAS	SAS	0.46521466158306024	0.25123032484217334	0.19309631512910255	0.10855372821264826	8.186268641350334e-05	0.0007341156805389739	0.0001365397226285735	-0.20613220797574622	0.2331585006474725	-0.3003484676299696
Lahu	Burusho	51641.03690685413	117537276	2276	8	89675.22935779816	244365000	2725	24	83004.2372881356	470136000	5664	51415.09433962264	5450106	106	8	90000.0	28890000	321	24	82881.53846153847	53873000	650	10250.5	1653568.6289368607	867.5	EAS	SAS	0.48099063286477195	0.25000696819643675	0.1886502596053998	0.10116581590035825	8.721063094911269e-05	0.0007341734025913196	0.0001591712161194663	-0.15672361024157977	0.23453027886686467	-0.16474788466313328
Miao	Burusho	50417.05974842767	128263544	2544	10	87096.5890978642	273222000	3137	24	83004.2372881356	470136000	5664	66374.04580152672	8695131	131	10	94740.0	33159000	350	24	82881.53846153847	53873000	650	10288.5	1650498.7291816156	1289.5	EAS	SAS	0.4694480825116572	0.2728222131468341	0.2622253686781869	0.16140053459061124	8.021375114974212e-05	0.0007328103876492838	0.00014830138844371636	-0.2213663934827911	0.2021379065549204	-0.22987637342919195
Han	Burusho	48879.760609357996	179685676	3676	33	78911.08476585655	399369000	5061	24	83004.2372881356	470136000	5664	53193.54838709677	9894186	186	33	79285.92814371258	52963000	668	24	82881.53846153847	53873000	650	12874.5	1651304.9104150925	1200.0	EAS	SAS	0.4499239450232742	0.3821993550802321	0.18681317145932066	0.18365760213836244	7.165011862158674e-05	0.0007331683267205322	0.00012128334761444752	-0.3004840941076804	0.21064441319933874	-0.3917597280803088
She	Burusho	52329.50348789495	127529437	2437	10	88498.33222148099	265318000	2998	24	83004.2372881356	470136000	5664	59803.418803418805	6997117	117	10	88446.74556213018	29895000	338	24	82881.53846153847	53873000	650	10251.0	1650241.8291458893	940.0	EAS	SAS	0.48066635885993414	0.27126073519151905	0.2340564308412778	0.1298817032650864	8.038144165883834e-05	0.0007326963257530587	0.0001343410436041015	-0.21981713416407445	0.1994271986270864	-0.3135222406112062
Adygei	Burusho	54485.754583921014	193155545	3545	16	87799.51219512195	359978000	4100	24	83004.2372881356	470136000	5664	49739.13043478261	6864138	138	16	73439.2523364486	15716000	214	24	82881.53846153847	53873000	650	13766.0	1626948.1822619198	930.5	EUR	SAS	0.5365759713093577	0.41085036032126876	0.43676113514889287	0.1274133239284985	7.126898686755277e-05	0.000722354102459575	0.0001355596289002348	-0.30400529470977966	-0.046358182826928114	-0.3062208719844744
Basque	Burusho	53629.58544586937	179823353	3353	23	84647.71598808342	340961000	4028	24	83004.2372881356	470136000	5664	53878.504672897194	5765107	107	23	71625.80645161291	11102000	155	24	82881.53846153847	53873000	650	12815.5	1631762.2870183378	775.0	EUR	SAS	0.5274015297937301	0.3824922001293243	0.5192854440641326	0.10701291927310527	7.126716183520391e-05	0.0007244915327467733	0.00013442942169156617	-0.30402215582129205	0.004438353233301783	-0.31299270771994897
Sardinian	Burusho	53372.24157955865	183817444	3444	28	83547.36098020735	354575000	4244	24	83004.2372881356	470136000	5664	50188.03418803419	5872117	117	28	64434.06593406593	11727000	182	24	82881.53846153847	53873000	650	12493.5	1640776.8991838698	834.5	EUR	SAS	0.518416256081224	0.39098780778327974	0.5007348000341093	0.10899925751303993	6.796689001942602e-05	0.0007284939602062643	0.0001421122910187246	-0.3345127118608	0.09955698797529641	-0.26695944172979497
