pop1	pop2	reg1	reg2	number_of_ind1	number_of_ind2	mpd_neanderthal	div_neanderthal	mpd_human	div_human	int_mean_frag_length	int_total_seq_length	int_number_of_frags	art1_mean_frag_length	art1_total_seq_length	art1_number_of_frags	art2_mean_frag_length	art2_total_seq_length	art2_number_of_frags	ratio
Mongolian	Burusho	EAS	SAS	9	24	50449.0	0.00037245478036175713	1647593.5407082879	0.0007315205034138751	51306.818181818184	135450000	2640	87875.03914813655	280585000	3193	83004.2372881356	470136000	5664	0.4827414152574086
Xibo	Burusho	EAS	SAS	9	24	53450.0	0.00038255629195951845	1648182.8638482196	0.0007317821589431939	53165.144596651444	139718000	2628	88987.14239794278	276839000	3111	83004.2372881356	470136000	5664	0.5046904518510759
Japanese	Burusho	EAS	SAS	27	24	60596.0	0.00036605492394495526	1649898.9968351359	0.0007325441105019349	48417.081017841476	165538000	3419	78430.189501198	360073000	4591	83004.2372881356	470136000	5664	0.4597345538265852
NorthernHan	Burusho	EAS	SAS	10	24	50412.5	0.00037720637200984686	1648511.0546098535	0.0007319278734445163	50509.07029478458	133647000	2646	85439.47858472998	275286000	3222	83004.2372881356	470136000	5664	0.4854841873542425
Naxi	Burusho	EAS	SAS	8	24	46569.0	0.00036606532248555595	1649313.0807084697	0.0007322839676637001	52589.91318726746	127215000	2419	88766.8252889191	261152000	2942	83004.2372881356	470136000	5664	0.48713010047788263
Yi	Burusho	EAS	SAS	10	24	52331.0	0.00037900690933847066	1651201.7422414036	0.0007331225207420014	52559.57365816521	138074000	2627	87185.6014580802	287015000	3292	83004.2372881356	470136000	5664	0.48106893367942444
Tu	Burusho	EAS	SAS	10	24	54590.0	0.0003686545695203236	1647398.2799783805	0.0007314338089568324	52942.080800858064	148079000	2797	86606.52870883125	297147000	3431	83004.2372881356	470136000	5664	0.498335840509916
Tujia	Burusho	EAS	SAS	9	24	49257.0	0.0003884682723702267	1651158.4606482042	0.0007331033040043391	51648.87983706721	126798000	2455	89896.23908663532	267711000	2978	83004.2372881356	470136000	5664	0.4736376166836626
Cambodian	Burusho	EAS	SAS	9	24	53503.0	0.00038163272584614287	1655983.8642832746	0.0007352457509180266	52625.750750750754	140195000	2664	85110.81794195251	290313000	3411	83004.2372881356	470136000	5664	0.482909824913111
Dai	Burusho	EAS	SAS	9	24	43900.0	0.00037168741004148676	1653438.622354465	0.0007341156805389739	48805.78512396694	118110000	2420	84013.2362673726	253888000	3022	83004.2372881356	470136000	5664	0.46520512982102347
Lahu	Burusho	EAS	SAS	8	24	43248.0	0.0003679584804526311	1653568.6289368607	0.0007341734025913196	51641.03690685413	117535000	2276	89675.22935779816	244365000	2725	83004.2372881356	470136000	5664	0.4809813189286518
Miao	Burusho	EAS	SAS	10	24	47618.0	0.00037125860549972324	1650498.7291816156	0.0007328103876492838	50417.05974842767	128261000	2544	87096.5890978642	273222000	3137	83004.2372881356	470136000	5664	0.46943877140201007
Han	Burusho	EAS	SAS	33	24	63890.0	0.0003555726227446266	1651304.9104150925	0.0007331683267205322	48879.760609357996	179682000	3676	78911.08476585655	399369000	5061	83004.2372881356	470136000	5664	0.44991474050314373
She	Burusho	EAS	SAS	10	24	47256.0	0.0003705568232609565	1650241.8291458893	0.0007326963257530587	52329.50348789495	127527000	2437	88498.33222148099	265318000	2998	83004.2372881356	470136000	5664	0.48065717365576405
Adygei	Burusho	EUR	SAS	16	24	70845.5	0.0003667862615970842	1626948.1822619198	0.000722354102459575	54485.754583921014	193152000	3545	87799.51219512195	359978000	4100	83004.2372881356	470136000	5664	0.5365661234853241
Basque	Burusho	EUR	SAS	23	24	65486.0	0.00036417528639750863	1631762.2870183378	0.0007244915327467733	53629.58544586937	179820000	3353	84647.71598808342	340961000	4028	83004.2372881356	470136000	5664	0.5273916958244491
Sardinian	Burusho	EUR	SAS	28	24	65651.0	0.0003571599551720761	1640776.8991838698	0.0007284939602062643	53372.24157955865	183814000	3444	83547.36098020735	354575000	4244	83004.2372881356	470136000	5664	0.5184065430444899
BergamoItalian	Burusho	EUR	SAS	12	24	56758.5	0.0003487765460623341	1632102.9879722574	0.0007246428016897297	57140.449438202246	162736000	2848	89985.15151515152	296951000	3300	83004.2372881356	470136000	5664	0.548023074513977
Tuscan	Burusho	EUR	SAS	8	24	50987.0	0.0003766825750971498	1634359.9378582716	0.0007256448723315503	56446.205170975816	135358000	2398	89399.92503748125	238519000	2668	83004.2372881356	470136000	5664	0.5674935749353301
French	Burusho	EUR	SAS	28	24	72662.5	0.00036111152525357946	1630481.46784823	0.0007239228576087919	52633.79544860058	201219000	3823	81519.47236180905	389337000	4776	83004.2372881356	470136000	5664	0.516824755931237
