pop1	pop2	reg1	reg2	number_of_ind1	number_of_ind2	mpd_neanderthal	div_neanderthal	mpd_human	div_human	int_mean_frag_length	int_total_seq_length	int_number_of_frags	art1_mean_frag_length	art1_total_seq_length	art1_number_of_frags	art2_mean_frag_length	art2_total_seq_length	art2_number_of_frags	ratio
Bougainville	Yi	OCE	EAS	11	10	37750.0	0.0003903745527496846	1630385.3247185706	0.000723880170702786	56254.799301919724	96702000	1719	100468.92870758673	263530000	2623	87185.6014580802	287015000	3292	0.36694873448943194
PapuanHighlands	Yi	OCE	EAS	9	10	26086.5	0.0004007512213107199	1659909.9323534842	0.0007369888988608877	53975.12437810945	65094000	1206	96848.01864801865	207739000	2145	87185.6014580802	287015000	3292	0.31334511093246814
PapuanSepik	Yi	OCE	EAS	8	10	28233.0	0.00041178186485422167	1655654.621785026	0.0007350995694526875	55159.29203539823	68563000	1243	95321.77088087631	208850000	2191	87185.6014580802	287015000	3292	0.328288245152023
Colombian	Yi	AMR	EAS	7	10	28889.0	0.00037934475740266564	1554176.243769983	0.0006900438488899112	57956.62100456621	76155000	1314	90187.00114025085	158188000	1754	87185.6014580802	287015000	3292	0.48142084102460364
Karitiana	Yi	AMR	EAS	12	10	27791.0	0.00037153743315508023	1546613.3060567086	0.000686685955170005	55121.59174649963	74800000	1357	89790.09566685425	159557000	1777	87185.6014580802	287015000	3292	0.4687979844193611
Surui	Yi	AMR	EAS	8	10	25583.0	0.0004121172092723553	1545425.5293607302	0.0006861585902677295	57961.71802054155	62077000	1071	94387.41958541816	132048000	1399	87185.6014580802	287015000	3292	0.47010935417423966
Pima	Yi	AMR	EAS	13	10	32195.5	0.0003771554753760367	1551716.993439752	0.0006889519582050169	57061.49732620321	85364000	1496	90849.21014839636	189784000	2089	87185.6014580802	287015000	3292	0.44979555705433544
Maya	Yi	AMR	EAS	21	10	39971.0	0.0003729751418333831	1570632.5671511649	0.0006973503463158288	53826.217980914116	107168000	1991	86030.21718602456	273318000	3177	87185.6014580802	287015000	3292	0.3921000446366503
Yakut	Yi	EAS	EAS	25	10	56447.5	0.00035895748279852975	1524570.2134430367	0.0006768989696015742	54526.35228848821	157254000	2884	85160.19310950187	388075000	4557	87185.6014580802	287015000	3292	0.40521548669715907
Oroqen	Yi	EAS	EAS	9	10	45149.0	0.0003465030430010975	1493115.9097644577	0.0006629334693170832	54065.97510373444	130299000	2410	83778.13504823152	260550000	3110	87185.6014580802	287015000	3292	0.5000921128382269
Daur	Yi	EAS	EAS	9	10	47009.0	0.00035259482609902265	1492243.3502849236	0.0006625460587489082	56041.614123581334	133323000	2379	87494.140625	268782000	3072	87185.6014580802	287015000	3292	0.49602651963301114
Hezhen	Yi	EAS	EAS	9	10	48767.5	0.0003458442663640877	1489045.9830241979	0.0006611264490876809	57909.65092402464	141010000	2435	85640.29706167258	265228000	3097	87185.6014580802	287015000	3292	0.53165578294901
Mongolian	Yi	EAS	EAS	9	10	48551.5	0.0003515015275907505	1495130.0869149412	0.0006638277504894002	56080.38976857491	138126000	2463	87875.03914813655	280585000	3193	87185.6014580802	287015000	3292	0.4922786321435572
Xibo	Yi	EAS	EAS	9	10	49453.5	0.0003585561613642296	1495454.6007583304	0.0006639718324636344	57111.38716356108	137924000	2415	88987.14239794278	276839000	3111	87185.6014580802	287015000	3292	0.49821015102640887
Japanese	Yi	EAS	EAS	27	10	60897.0	0.0003472645156875492	1484375.2458976356	0.0006590526730684645	54007.39143825069	175362000	3247	78430.189501198	360073000	4591	87185.6014580802	287015000	3292	0.48701791025708674
NorthernHan	Yi	EAS	EAS	10	10	52930.0	0.0003656952562561318	1479575.1164258334	0.000656921447714088	55969.83758700696	144738000	2586	85439.47858472998	275286000	3222	87185.6014580802	287015000	3292	0.5257731958762887
Naxi	Yi	EAS	EAS	8	10	51671.5	0.0003582203889216264	1475574.1738457792	0.0006551450559900508	59044.20794105608	144245000	2443	88766.8252889191	261152000	2942	87185.6014580802	287015000	3292	0.5523411652983703
Yi	Yi	EAS	EAS	10	10	991869.0	0.003455808929846872	1397873.0961471624	0.0006206462976072899	87185.6014580802	287015000	3292	87185.6014580802	287015000	3292	87185.6014580802	287015000	3292	1.0
Tu	Yi	EAS	EAS	10	10	52025.0	0.0003496961793885946	1492781.864937717	0.0006627851556500395	56978.93527384144	148772000	2611	86606.52870883125	297147000	3431	87185.6014580802	287015000	3292	0.50066801953242
Tujia	Yi	EAS	EAS	9	10	49910.0	0.0003523523099514289	1476463.1668041074	0.000655539762912808	57721.27139364303	141648000	2454	89896.23908663532	267711000	2978	87185.6014580802	287015000	3292	0.5291078812600155
Cambodian	Yi	EAS	EAS	9	10	49851.5	0.0003663800389519715	1513735.7902859258	0.0006720885582432719	55266.04386677498	136065000	2462	85110.81794195251	290313000	3411	87185.6014580802	287015000	3292	0.46868379989873
Dai	Yi	EAS	EAS	9	10	45386.5	0.0003622024308298818	1487851.8645161712	0.0006605962684633068	54151.68539325843	125307000	2314	84013.2362673726	253888000	3022	87185.6014580802	287015000	3292	0.493552275018906
Lahu	Yi	EAS	EAS	8	10	46578.0	0.00035916812535181946	1487322.427187711	0.0006603612018334178	58101.702508960574	129683000	2232	89675.22935779816	244365000	2725	87185.6014580802	287015000	3292	0.5306938391340822
Miao	Yi	EAS	EAS	10	10	52068.5	0.0003647709519906405	1476179.1785032616	0.0006554136740081932	56689.0389197776	142743000	2518	87096.5890978642	273222000	3137	87185.6014580802	287015000	3292	0.5224432878757933
Han	Yi	EAS	EAS	33	10	64139.5	0.00034424192656759035	1477005.491636934	0.0006557805515083694	53143.46833998859	186321000	3506	78911.08476585655	399369000	5061	87185.6014580802	287015000	3292	0.4665384644276346
She	Yi	EAS	EAS	10	10	49787.5	0.00035339357201669456	1476186.2580435707	0.0006554168172767014	58072.54740313273	140884000	2426	88498.33222148099	265318000	2998	87185.6014580802	287015000	3292	0.5310005352068085
Adygei	Yi	EUR	EAS	16	10	38540.5	0.0003947406155579454	1684598.6679196262	0.0007479505321908122	54151.41430948419	97635000	1803	87799.51219512195	359978000	4100	87185.6014580802	287015000	3292	0.27122490818883377
Basque	Yi	EUR	EAS	23	10	30750.0	0.00038602041200617635	1695503.8327078351	0.0007527923523597917	50577.142857142855	79659000	1575	84647.71598808342	340961000	4028	87185.6014580802	287015000	3292	0.23363082581292288
Sardinian	Yi	EUR	EAS	28	10	30656.0	0.00039131988766913454	1704280.5354403649	0.0007566891496235477	47739.183424741015	78340000	1641	83547.36098020735	354575000	4244	87185.6014580802	287015000	3292	0.22094056264542059
BergamoItalian	Yi	EUR	EAS	12	10	26757.5	0.00038746416056068813	1696772.394221784	0.0007533555851804887	50852.72459499264	69058000	1358	89985.15151515152	296951000	3300	87185.6014580802	287015000	3292	0.23255688648969022
Tuscan	Yi	EUR	EAS	8	10	23168.0	0.0004012261226469009	1698609.00754148	0.0007541710292005127	50874.88986784141	57743000	1135	89399.92503748125	238519000	2668	87185.6014580802	287015000	3292	0.2420897287008582
French	Yi	EUR	EAS	28	10	35182.0	0.0003807493344299907	1693903.050175851	0.0007520816156309078	50001.082251082255	92402000	1848	81519.47236180905	389337000	4776	87185.6014580802	287015000	3292	0.23733166896544639
Orcadian	Yi	EUR	EAS	15	10	29890.5	0.0004022730943152455	1690772.3314797378	0.0007506915974862364	49175.380542686966	74304000	1511	85381.43762049022	310020000	3631	87185.6014580802	287015000	3292	0.23967485968647184
Bedouin	Yi	MID	EAS	46	10	38468.0	0.0003989173605998071	1748070.001365419	0.0007761313793763723	50329.331941544886	96431000	1916	79872.41706161137	421327000	5275	87185.6014580802	287015000	3292	0.22887448466393087
Palestinian	Yi	MID	EAS	46	10	37616.0	0.0003952173821681481	1736383.8737493847	0.0007709428169394467	46770.51597051597	95178000	2035	78281.71573973101	430706000	5502	87185.6014580802	287015000	3292	0.22098136547900424
Druze	Yi	MID	EAS	42	10	33890.5	0.00037862673027293345	1714332.4024247208	0.0007611521112794209	47359.25925925926	89509000	1890	79069.13866357667	409420000	5178	87185.6014580802	287015000	3292	0.21862390699037662
Russian	Yi	EUR	EAS	25	10	44560.5	0.0003889742403477684	1673163.7030661777	0.0007428734843392415	51256.82326621924	114559000	2235	83296.06707925734	417230000	5009	87185.6014580802	287015000	3292	0.27457038084509744
Balochi	Yi	SAS	EAS	24	10	44313.5	0.0003913997774205515	1692616.567605207	0.0007515104259809981	49744.288224956064	113218000	2276	83252.24382946896	445233000	5348	87185.6014580802	287015000	3292	0.2542893271612841
Brahui	Yi	SAS	EAS	25	10	42604.0	0.0003792213340928916	1696675.073016086	0.0007533123752166074	51136.09467455621	112346000	2197	83963.44747979993	436442000	5198	87185.6014580802	287015000	3292	0.25741335618478517
Makrani	Yi	SAS	EAS	25	10	42789.0	0.00039049609403519017	1713455.326819541	0.0007607626955816891	50659.26953305594	109576000	2163	82959.94608126325	430811000	5193	87185.6014580802	287015000	3292	0.2543481944518594
Kalash	Yi	SAS	EAS	22	10	34652.0	0.00038789696976481255	1672192.5436727172	0.0007424422960692912	49601.88784008884	89333000	1801	85339.24441017733	332055000	3891	87185.6014580802	287015000	3292	0.2690307328605201
Pathan	Yi	SAS	EAS	24	10	47017.5	0.00037451908141563316	1671815.0628586297	0.0007422746971146172	50539.85507246377	125541000	2484	83494.3231441048	478005000	5725	87185.6014580802	287015000	3292	0.26263532808234225
Sindhi	Yi	SAS	EAS	24	10	48747.5	0.00038745996041744495	1686484.5372753115	0.0007487878455611053	51039.75659229209	125813000	2465	83600.0	469832000	5620	87185.6014580802	287015000	3292	0.2677829522041921
Mozabite	Yi	MID	EAS	27	10	26760.0	0.00039522072398056387	1810673.651054701	0.0008039269807821427	51062.59426847662	67709000	1326	86723.33044232437	299976000	3459	87185.6014580802	287015000	3292	0.22571472384457422
Burusho	Tu	SAS	EAS	24	10	54590.0	0.0003686545695203236	1647398.2799783805	0.0007314338089568324	52942.080800858064	148079000	2797	83004.2372881356	470136000	5664	86606.52870883125	297147000	3431	0.31497056170980314
Hazara	Tu	SAS	EAS	19	10	57468.5	0.0003572689689471885	1591816.3447745382	0.0007067558017806492	53475.73138297872	160855000	3008	84074.29015947103	432310000	5142	86606.52870883125	297147000	3431	0.3720825333672596
Uygur	Tu	SAS	EAS	10	10	50555.5	0.0003598896600818651	1586577.0789650776	0.0007044296028318429	56077.844311377245	140475000	2505	88113.44113188479	348753000	3958	86606.52870883125	297147000	3431	0.4027922340452985
Bougainville	Tu	OCE	EAS	11	10	36108.0	0.00038556326748531765	1637803.6447610494	0.0007271738551449005	55479.85781990521	93650000	1688	100468.92870758673	263530000	2623	86606.52870883125	297147000	3431	0.3553675103403787
PapuanHighlands	Tu	OCE	EAS	9	10	25887.0	0.0004058541326978553	1665534.4625980149	0.0007394861526399823	54656.383890317054	63784000	1167	96848.01864801865	207739000	2145	86606.52870883125	297147000	3431	0.30703912120497356
PapuanSepik	Tu	OCE	EAS	8	10	26400.0	0.000394082787240077	1661016.5725439873	0.0007374802396978436	54243.72469635627	66991000	1235	95321.77088087631	208850000	2191	86606.52870883125	297147000	3431	0.320761311946373
Colombian	Tu	AMR	EAS	7	10	28473.0	0.00036788722931417644	1555707.299594825	0.0006907236274275604	57672.13114754098	77396000	1342	90187.00114025085	158188000	1754	86606.52870883125	297147000	3431	0.489265936733507
Karitiana	Tu	AMR	EAS	12	10	29805.5	0.0003879207121847099	1548942.1902052937	0.0006877199641428936	56288.64468864469	76834000	1365	89790.09566685425	159557000	1777	86606.52870883125	297147000	3431	0.4815457798780373
Surui	Tu	AMR	EAS	8	10	27442.5	0.0004262912621359223	1548914.3117525948	0.0006877075862965081	58047.790802524796	64375000	1109	94387.41958541816	132048000	1399	86606.52870883125	297147000	3431	0.4875121168060099
Pima	Tu	AMR	EAS	13	10	31939.5	0.0003811532632433142	1554302.821422114	0.000690100048520172	55384.66622604098	83797000	1513	90849.21014839636	189784000	2089	86606.52870883125	297147000	3431	0.4415388020064916
Maya	Tu	AMR	EAS	21	10	42068.0	0.000376622679009472	1571545.7872695208	0.0006977558099354666	54301.4098201264	111698000	2057	86030.21718602456	273318000	3177	86606.52870883125	297147000	3431	0.40867414513497097
Yakut	Tu	EAS	EAS	25	10	59471.0	0.00035594113034995004	1527570.6563796825	0.0006782311461810818	55527.085410435364	167081000	3009	85160.19310950187	388075000	4557	86606.52870883125	297147000	3431	0.4305379114861818
Oroqen	Tu	EAS	EAS	9	10	47517.5	0.0003513698376899471	1500333.5701313794	0.000666138062206426	54906.6179455948	135235000	2463	83778.13504823152	260550000	3110	86606.52870883125	297147000	3431	0.5190366532335444
Daur	Tu	EAS	EAS	9	10	47420.5	0.00034381117410785494	1499794.8975136834	0.0006658988951699354	56619.86863711002	137926000	2436	87494.140625	268782000	3072	86606.52870883125	297147000	3431	0.5131519223757544
Hezhen	Tu	EAS	EAS	9	10	50102.0	0.00036049272567670635	1497444.5320759718	0.0006648553486484662	57006.56275635767	138982000	2438	85640.29706167258	265228000	3097	86606.52870883125	297147000	3431	0.5240095314220218
Mongolian	Tu	EAS	EAS	9	10	49635.0	0.0003498378911756414	1502685.9111693478	0.000667182485881185	57721.72497965826	141880000	2458	87875.03914813655	280585000	3193	86606.52870883125	297147000	3431	0.505657822050359
Xibo	Tu	EAS	EAS	9	10	51472.0	0.00036380342514648404	1503370.4655929338	0.0006674864234629872	57072.60992335619	141483000	2479	88987.14239794278	276839000	3111	86606.52870883125	297147000	3431	0.5110659986490342
Japanese	Tu	EAS	EAS	27	10	59087.5	0.00034441704846174473	1493539.6548570823	0.0006631216093017438	52161.14320462147	171558000	3289	78430.189501198	360073000	4591	86606.52870883125	297147000	3431	0.47645338584120445
NorthernHan	Tu	EAS	EAS	10	10	50281.0	0.0003492463707716885	1490185.4282595713	0.0006616323551449689	55715.94427244582	143970000	2584	85439.47858472998	275286000	3222	86606.52870883125	297147000	3431	0.5229833700224494
Naxi	Tu	EAS	EAS	8	10	49311.5	0.00035714078784411144	1492593.3339958661	0.0006627014491738459	57916.526845637585	138073000	2384	88766.8252889191	261152000	2942	86606.52870883125	297147000	3431	0.5287074194338929
Yi	Tu	EAS	EAS	10	10	52025.0	0.0003496961793885946	1492781.864937717	0.0006627851556500395	56978.93527384144	148772000	2611	87185.6014580802	287015000	3292	86606.52870883125	297147000	3431	0.5183422469208926
Tu	Tu	EAS	EAS	10	10	1049319.0	0.0035313127845813686	1425913.7177447143	0.0006330961458983077	86606.52870883125	297147000	3431	86606.52870883125	297147000	3431	86606.52870883125	297147000	3431	1.0
Tujia	Tu	EAS	EAS	9	10	48919.5	0.0003515089458935115	1488856.77428936	0.0006610424416759383	57083.67514356029	139170000	2438	89896.23908663532	267711000	2978	86606.52870883125	297147000	3431	0.5198516310499008
Cambodian	Tu	EAS	EAS	9	10	49084.5	0.00037565147514636665	1527305.6408273545	0.0006781134810498092	53993.801652892565	130665000	2420	85110.81794195251	290313000	3411	86606.52870883125	297147000	3431	0.4500831860784739
Dai	Tu	EAS	EAS	9	10	46815.0	0.0003639536962893282	1502317.0870744	0.0006670187304518626	53977.75912715065	128629000	2383	84013.2362673726	253888000	3022	86606.52870883125	297147000	3431	0.5066367847239728
Lahu	Tu	EAS	EAS	8	10	44883.0	0.00035325924410093345	1503316.1871146893	0.0006674623241819759	57830.6781975421	127054000	2197	89675.22935779816	244365000	2725	86606.52870883125	297147000	3431	0.519935342622716
Miao	Tu	EAS	EAS	10	10	51948.5	0.0003666245571442686	1490104.5568763136	0.0006615964487921393	56294.79539133889	141694000	2517	87096.5890978642	273222000	3137	86606.52870883125	297147000	3431	0.5186039191573153
Han	Tu	EAS	EAS	33	10	61129.5	0.00033612384942760054	1489129.5210030922	0.0006611635393911235	52065.845977669625	181866000	3493	78911.08476585655	399369000	5061	86606.52870883125	297147000	3431	0.4553833672618556
She	Tu	EAS	EAS	10	10	48469.0	0.0003540829595429774	1488774.7159371595	0.0006610060083168433	56192.93924466338	136886000	2436	88498.33222148099	265318000	2998	86606.52870883125	297147000	3431	0.5159318252059792
Adygei	Tu	EUR	EAS	16	10	41369.5	0.000377979698306974	1675955.2378588964	0.0007441129071012347	54506.47410358566	109449000	2008	87799.51219512195	359978000	4100	86606.52870883125	297147000	3431	0.304043580441027
Basque	Tu	EUR	EAS	23	10	34339.0	0.00037241611174977765	1686350.3697843137	0.0007487282760931925	51713.96522714526	92206000	1783	84647.71598808342	340961000	4028	86606.52870883125	297147000	3431	0.2704297558958356
Sardinian	Tu	EUR	EAS	28	10	36563.0	0.00039817265074542344	1695207.5915460202	0.0007526608232669248	49960.28291621328	91827000	1838	83547.36098020735	354575000	4244	86606.52870883125	297147000	3431	0.2589776492984559
BergamoItalian	Tu	EUR	EAS	12	10	29680.5	0.00036683805262702543	1687455.3941145458	0.0007492188994990044	53264.64779460171	80909000	1519	89985.15151515152	296951000	3300	86606.52870883125	297147000	3431	0.2724658276954784
Tuscan	Tu	EUR	EAS	8	10	27752.0	0.0004080096445058661	1690155.655111272	0.0007504177973065454	52727.13178294573	68018000	1290	89399.92503748125	238519000	2668	86606.52870883125	297147000	3431	0.2851680578905664
French	Tu	EUR	EAS	28	10	38940.0	0.00037816472599081294	1684931.8133347768	0.0007480984465251304	50107.54257907542	102971000	2055	81519.47236180905	389337000	4776	86606.52870883125	297147000	3431	0.2644778174178154
Orcadian	Tu	EUR	EAS	15	10	32472.5	0.00037357776422810993	1681155.353790203	0.0007464217237662023	52268.79134095009	86923000	1663	85381.43762049022	310020000	3631	86606.52870883125	297147000	3431	0.28037868524611315
Bedouin	Tu	MID	EAS	46	10	40980.5	0.00038195654807952206	1740957.6810701014	0.0007729735567736964	50019.11421911422	107291000	2145	79872.41706161137	421327000	5275	86606.52870883125	297147000	3431	0.2546501885708725
Palestinian	Tu	MID	EAS	46	10	42970.0	0.0003870438925968961	1728327.450525731	0.0007673658189562252	49037.544169611305	111021000	2264	78281.71573973101	430706000	5502	86606.52870883125	297147000	3431	0.2577651576713582
Druze	Tu	MID	EAS	42	10	40410.5	0.0003817497354897219	1705304.3209107693	0.0007571437035193928	50479.732951835955	105856000	2097	79069.13866357667	409420000	5178	86606.52870883125	297147000	3431	0.2585511210981388
Russian	Tu	EUR	EAS	25	10	48239.5	0.0003789374872350788	1665214.5240019443	0.0007393441020449317	51981.21682319314	127302000	2449	83296.06707925734	417230000	5009	86606.52870883125	297147000	3431	0.30511228818637204
Balochi	Tu	SAS	EAS	24	10	48337.0	0.0003849559988850396	1686379.72980837	0.0007487413117473434	51334.83237939493	125565000	2446	83252.24382946896	445233000	5348	86606.52870883125	297147000	3431	0.2820208744634832
Brahui	Tu	SAS	EAS	25	10	46440.5	0.00038009281236188637	1690316.8806157676	0.0007504893803513303	51859.932088285226	122182000	2356	83963.44747979993	436442000	5198	86606.52870883125	297147000	3431	0.27995014228694765
Makrani	Tu	SAS	EAS	25	10	45152.5	0.000382911150874753	1707242.1532672674	0.0007580040881142168	51269.13043478261	117919000	2300	82959.94608126325	430811000	5193	86606.52870883125	297147000	3431	0.27371399523224804
Kalash	Tu	SAS	EAS	22	10	39223.0	0.000386753569456496	1666818.8060576944	0.0007400563925389425	52411.36950904393	101416000	1935	85339.24441017733	332055000	3891	86606.52870883125	297147000	3431	0.30541928295011367
Pathan	Tu	SAS	EAS	24	10	51590.5	0.00037361948972719304	1666536.8249233295	0.0007399311948028097	52185.563114134544	138083000	2646	83494.3231441048	478005000	5725	86606.52870883125	297147000	3431	0.2888735473478311
Sindhi	Tu	SAS	EAS	24	10	50921.5	0.00037916514642700246	1682134.6470571663	0.0007468565234215412	50450.413223140495	134299000	2662	83600.0	469832000	5620	86606.52870883125	297147000	3431	0.28584472747705564
Mozabite	Tu	MID	EAS	27	10	32314.5	0.00041195930699506635	1804220.8600780335	0.0008010619847821905	52644.96644295302	78441000	1490	86723.33044232437	299976000	3459	86606.52870883125	297147000	3431	0.2614909192735419
Burusho	Tujia	SAS	EAS	24	9	49257.0	0.0003884682723702267	1651158.4606482042	0.0007331033040043391	51648.87983706721	126798000	2455	83004.2372881356	470136000	5664	89896.23908663532	267711000	2978	0.2697049364439226
Hazara	Tujia	SAS	EAS	19	9	52307.0	0.00036902183498536105	1589762.0498405723	0.0007058437085810065	53610.06051437216	141745000	2644	84074.29015947103	432310000	5142	89896.23908663532	267711000	2978	0.3278781429992367
Uygur	Tujia	SAS	EAS	10	9	45968.0	0.00037401244863919286	1582499.9846565523	0.000702619400250109	54843.819723337794	122905000	2241	88113.44113188479	348753000	3958	89896.23908663532	267711000	2978	0.35241273910188586
Bougainville	Tujia	OCE	EAS	11	9	35568.5	0.000375218895710699	1626980.0836554568	0.0007223682664647639	58442.663378545	94794000	1622	100468.92870758673	263530000	2623	89896.23908663532	267711000	2978	0.3597085720790802
PapuanHighlands	Tujia	OCE	EAS	9	9	24030.0	0.00039780816475184583	1660676.2065524478	0.0007373291194759417	54419.81981981982	60406000	1110	96848.01864801865	207739000	2145	89896.23908663532	267711000	2978	0.290778332426747
PapuanSepik	Tujia	OCE	EAS	8	9	26634.5	0.0004059642116815023	1656051.5004793846	0.0007352757809363562	55884.15672913117	65608000	1174	95321.77088087631	208850000	2191	89896.23908663532	267711000	2978	0.3141393344505626
Colombian	Tujia	AMR	EAS	7	9	28766.0	0.00038926628596173106	1551621.9482593224	0.0006889097587811196	59165.73258606886	73898000	1249	90187.00114025085	158188000	1754	89896.23908663532	267711000	2978	0.46715300781348773
Karitiana	Tujia	AMR	EAS	12	9	28592.5	0.0003790952362011588	1541987.2343559111	0.0006846320103008468	61021.844660194176	75423000	1236	89790.09566685425	159557000	1777	89896.23908663532	267711000	2978	0.4727025451719448
Surui	Tujia	AMR	EAS	8	9	24845.0	0.00040706152207749653	1541438.9982408832	0.000684388597135557	60913.17365269461	61035000	1002	94387.41958541816	132048000	1399	89896.23908663532	267711000	2978	0.462218284260269
Pima	Tujia	AMR	EAS	13	9	31953.5	0.00037520842629341726	1549660.2690062185	0.0006880387863238287	59762.80701754386	85162000	1425	90849.21014839636	189784000	2089	89896.23908663532	267711000	2978	0.44873118914133964
Maya	Tujia	AMR	EAS	21	9	38451.5	0.00037462490257209665	1566959.7038634298	0.0006957196196014844	55391.25742039935	102640000	1853	86030.21718602456	273318000	3177	89896.23908663532	267711000	2978	0.3755332616219934
Yakut	Tujia	EAS	EAS	25	9	50798.5	0.00034468871925360476	1521383.614221174	0.000675484140877523	54221.85430463576	147375000	2718	85160.19310950187	388075000	4557	89896.23908663532	267711000	2978	0.37975906719062036
Oroqen	Tujia	EAS	EAS	9	9	45055.0	0.000346683594952293	1487135.251588721	0.0006602780971203821	56528.925619834714	129960000	2299	83778.13504823152	260550000	3110	89896.23908663532	267711000	2978	0.4987910189982729
Daur	Tujia	EAS	EAS	9	9	47171.0	0.0003574291711183348	1485780.9020777722	0.0006596767750032647	58550.57675244011	131973000	2254	87494.140625	268782000	3072	89896.23908663532	267711000	2978	0.49100386186574996
Hezhen	Tujia	EAS	EAS	9	9	47071.0	0.00035133380107181777	1482774.0693355112	0.0006583417613928359	57774.04053471324	133978000	2319	85640.29706167258	265228000	3097	89896.23908663532	267711000	2978	0.5051427451098678
Mongolian	Tujia	EAS	EAS	9	9	46215.5	0.0003511309157492459	1488167.3375723194	0.0006607363363885232	56103.580562659845	131619000	2346	87875.03914813655	280585000	3193	89896.23908663532	267711000	2978	0.4690877987062744
Xibo	Tujia	EAS	EAS	9	9	47289.5	0.00035582233525454846	1488051.367295287	0.0006606848463618026	57088.48797250859	132902000	2328	88987.14239794278	276839000	3111	89896.23908663532	267711000	2978	0.4800696433667222
Japanese	Tujia	EAS	EAS	27	9	56715.5	0.0003395954709027657	1474240.3444144886	0.0006545528446509444	54083.22538860104	167009000	3088	78430.189501198	360073000	4591	89896.23908663532	267711000	2978	0.46381983653314746
NorthernHan	Tujia	EAS	EAS	10	9	49732.0	0.0003520799705490896	1471384.2605288757	0.0006532847625237847	56979.42718838241	141252000	2479	85439.47858472998	275286000	3222	89896.23908663532	267711000	2978	0.5131100019615963
Naxi	Tujia	EAS	EAS	8	9	45570.5	0.0003398855872788568	1475739.5501951529	0.0006552184819821766	59273.20954907162	134076000	2262	88766.8252889191	261152000	2942	89896.23908663532	267711000	2978	0.5134021565984561
Yi	Tujia	EAS	EAS	10	9	49910.0	0.0003523523099514289	1476463.1668041074	0.000655539762912808	57721.27139364303	141648000	2454	87185.6014580802	287015000	3292	89896.23908663532	267711000	2978	0.4935212445342578
Tu	Tujia	EAS	EAS	10	9	48919.5	0.0003515089458935115	1488856.77428936	0.0006610424416759383	57083.67514356029	139170000	2438	86606.52870883125	297147000	3431	89896.23908663532	267711000	2978	0.4683540469868449
Tujia	Tujia	EAS	EAS	9	9	955004.0	0.003567294582590928	1381779.4322270362	0.0006135008185545113	89896.23908663532	267711000	2978	89896.23908663532	267711000	2978	89896.23908663532	267711000	2978	1.0
Cambodian	Tujia	EAS	EAS	9	9	49744.5	0.0003786191621506424	1503343.937126392	0.000667474645001419	56582.25667527993	131384000	2322	85110.81794195251	290313000	3411	89896.23908663532	267711000	2978	0.4525598233630599
Dai	Tujia	EAS	EAS	9	9	45877.5	0.00036306980056980055	1472733.9340817065	0.0006538840085467977	56010.63829787234	126360000	2256	84013.2362673726	253888000	3022	89896.23908663532	267711000	2978	0.49769977312830854
Lahu	Tujia	EAS	EAS	8	9	45542.0	0.0003570269443943587	1479026.6130311089	0.0006566779158784019	59495.80223880597	127559000	2144	89675.22935779816	244365000	2725	89896.23908663532	267711000	2978	0.5220019233523623
Miao	Tujia	EAS	EAS	10	9	49769.0	0.0003516001412928294	1462887.6586217757	0.0006495123281515809	57869.99182338512	141550000	2446	87096.5890978642	273222000	3137	89896.23908663532	267711000	2978	0.5180768752150267
Han	Tujia	EAS	EAS	33	9	60530.5	0.00033454279161024676	1464026.2123147687	0.0006500178383700198	54696.19105199516	180935000	3308	78911.08476585655	399369000	5061	89896.23908663532	267711000	2978	0.45305218982945594
She	Tujia	EAS	EAS	10	9	46919.0	0.00034139295952966513	1462412.166038856	0.0006493012126276164	58607.24946695096	137434000	2345	88498.33222148099	265318000	2998	89896.23908663532	267711000	2978	0.5179972711990894
Adygei	Tujia	EUR	EAS	16	9	34089.5	0.0003843365615522509	1683881.5540544805	0.0007476321384349038	53625.75574365175	88697000	1654	87799.51219512195	359978000	4100	89896.23908663532	267711000	2978	0.24639561306524288
Basque	Tujia	EUR	EAS	23	9	28597.0	0.0003955106218189865	1694248.344263224	0.0007522349238943721	50704.06732117812	72304000	1426	84647.71598808342	340961000	4028	89896.23908663532	267711000	2978	0.21205944374869853
Sardinian	Tujia	EUR	EAS	28	9	28637.5	0.00040112476013054503	1703034.9500111917	0.0007561361180306938	49236.55172413793	71393000	1450	83547.36098020735	354575000	4244	89896.23908663532	267711000	2978	0.20134809278713953
BergamoItalian	Tujia	EUR	EAS	12	9	24592.5	0.00039572773352643015	1695530.2336061762	0.0007528040741819329	52004.18410041841	62145000	1195	89985.15151515152	296951000	3300	89896.23908663532	267711000	2978	0.20927695141622693
Tuscan	Tujia	EUR	EAS	8	9	20155.5	0.0003991188118811881	1698007.9455068891	0.000753904161680543	50651.95586760281	50500000	997	89399.92503748125	238519000	2668	89896.23908663532	267711000	2978	0.21172317509296953
French	Tujia	EUR	EAS	28	9	32380.5	0.00039493712571198573	1692700.9838635507	0.0007515479062346372	48832.042882668255	81989000	1679	81519.47236180905	389337000	4776	89896.23908663532	267711000	2978	0.21058620167104591
Orcadian	Tujia	EUR	EAS	15	9	29708.5	0.00043185980928014885	1689543.482946009	0.0007501459969629263	50694.17833456153	68792000	1357	85381.43762049022	310020000	3631	89896.23908663532	267711000	2978	0.22189536158957487
