pop1	pop2	nean_int_mean_frag_len	nean_int_total_seq_len	nean_int_n_frags	nean_n_ind1	nean_art1_mean_frag_len	nean_art1_total_seq_len	nean_art1_n_frags	nean_n_ind2	nean_art2_mean_frag_len	nean_art2_total_seq_len	nean_art2_n_frags	deni_int_mean_frag_len	deni_int_total_seq_len	deni_int_n_frags	deni_n_ind1	deni_art1_mean_frag_len	deni_art1_total_seq_len	deni_art1_n_frags	deni_n_ind2	deni_art2_mean_frag_len	deni_art2_total_seq_len	deni_art2_n_frags	mpd_neanderthal	mpd_whole_genome	mpd_denisova	reg1	reg2	nean_ratio1	nean_ratio2	deni_ratio1	deni_ratio2	div_neanderthal	div_whole_genome	div_denisova	norm_div_neanderthal	norm_div_whole_genome	norm_div_denisova
Maya	Burusho	53800.07390983001	145585706	2706	21	86030.21718602456	273318000	3177	24	83004.2372881356	470136000	5664	48772.05882352941	6633136	136	21	75397.95918367348	22167000	294	24	82881.53846153847	53873000	650	54694.0	1644599.116378467	3043.0	AMR	SAS	0.5326605126629055	0.30966721544404174	0.29923471827491316	0.12312542460973029	0.0003756824863012307	0.0007301909990555103	0.0004587573660482764	-0.15728086138742942	0.13988751740478814	-0.15719670082000015
Yakut	Burusho	53675.0	195380640	3640	25	85160.19310950187	388075000	4557	24	83004.2372881356	470136000	5664	51937.853107344636	9193177	177	25	78253.46534653465	39518000	505	24	82881.53846153847	53873000	650	71686.0	1644666.3987650222	3530.5	EAS	SAS	0.503461032017007	0.4155832354893052	0.23263264841338124	0.17064535110352125	0.00036690431559646854	0.000730220871984766	0.0003840348119045244	-0.1781537323827645	0.1405974546304607	-0.3365078134743691
Oroqen	Burusho	50515.928515928514	130030574	2574	9	83778.13504823152	260550000	3110	24	83004.2372881356	470136000	5664	56054.26356589147	7231129	129	9	84363.37209302325	29021000	344	24	82881.53846153847	53873000	650	46502.5	1646378.319973722	3299.5	EAS	SAS	0.4990618844751487	0.2765807638640734	0.24916884325143862	0.1342254747276001	0.0003576274299919648	0.0007309809535421718	0.0004562911268765915	-0.20021245543268662	0.1586609725242231	-0.1631149151398139
Daur	Burusho	52795.830055074744	134209542	2542	9	87494.140625	268782000	3072	24	83004.2372881356	470136000	5664	55616.54135338346	7397133	133	9	86159.02964959569	31965000	371	24	82881.53846153847	53873000	650	49752.5	1648705.9654791427	3270.0	EAS	SAS	0.4993248878273099	0.2854696130481393	0.2314135147817926	0.13730686986059806	0.00037070762077408775	0.0007320144125657865	0.00044206316149783976	-0.1691101741064064	0.1832213705284197	-0.19725764931300244
Hezhen	Burusho	51309.055118110235	130327540	2540	9	85640.29706167258	265228000	3097	24	83004.2372881356	470136000	5664	51344.8275862069	5956116	116	9	82407.73809523809	27689000	336	24	82881.53846153847	53873000	650	47603.0	1648772.3922148598	2658.0	EAS	SAS	0.4913792661408298	0.2772124236391172	0.21510766008162086	0.11055846156701873	0.00036525664491173545	0.0007320439055917977	0.0004462639747110365	-0.18207158939442772	0.1839222792636783	-0.18717699160606202
Mongolian	Burusho	51306.818181818184	135452640	2640	9	87875.03914813655	280585000	3193	24	83004.2372881356	470136000	5664	54609.375	6990128	128	9	87150.27322404372	31897000	366	24	82881.53846153847	53873000	650	50449.0	1647593.5407082879	3229.0	EAS	SAS	0.48275082417092857	0.28811373730154677	0.21914687901683544	0.1297519722309877	0.0003724475211409685	0.0007315205034138751	0.0004619371776883056	-0.1649730119203331	0.17148350277394434	-0.1495661323826842
Xibo	Burusho	53165.144596651444	139720628	2628	9	88987.14239794278	276839000	3111	24	83004.2372881356	470136000	5664	59340.90909090909	7833132	132	9	87800.0	28974000	330	24	82881.53846153847	53873000	650	53450.0	1648182.8638482196	3020.0	EAS	SAS	0.5046999447332204	0.2971919359504484	0.27035038310209153	0.14539995916321719	0.00038254909647271267	0.0007317821589431939	0.00038554182413879913	-0.14095332879492184	0.17770180828313875	-0.3328914483272184
Japanese	Burusho	48417.081017841476	165541419	3419	27	78430.189501198	360073000	4591	24	83004.2372881356	470136000	5664	51808.13953488372	8911172	172	27	80322.0640569395	45141000	562	24	82881.53846153847	53873000	650	60596.0	1649898.9968351359	3673.5	EAS	SAS	0.4597440491233722	0.3521138968298535	0.19740750094149442	0.16541072522413824	0.0003660473636510268	0.0007325441105019349	0.0004122353378433275	-0.18019140606307957	0.19580976720069745	-0.2688352380188098
NorthernHan	Burusho	50509.07029478458	133649646	2646	10	85439.47858472998	275286000	3222	24	83004.2372881356	470136000	5664	48065.69343065693	6585137	137	10	79861.78861788618	29469000	369	24	82881.53846153847	53873000	650	50412.5	1648511.0546098535	2751.5	EAS	SAS	0.48549379917612956	0.2842786895706774	0.22345980521904374	0.12223445881981698	0.0003771989040659337	0.0007319278734445163	0.0004178348909065977	-0.15367509961288234	0.18116474785373052	-0.2553980355349314
Naxi	Burusho	52589.91318726746	127217419	2419	8	88766.8252889191	261152000	2942	24	83004.2372881356	470136000	5664	55836.065573770495	6812122	122	8	89819.71830985915	31886000	355	24	82881.53846153847	53873000	650	46569.0	1649313.0807084697	2972.0	EAS	SAS	0.4871393632826859	0.270597059148842	0.21363990466035251	0.12644779388561989	0.00036605836186631013	0.0007322839676637001	0.0004362810883304791	-0.1801652543355148	0.1896274111527131	-0.2111328438238033
